"purchase_date","Chemists & Drgustores","Clothing","DIY Goods","Eletrical Goods","Food & Consumables","Furniture & Carpets","Garden Products","Household & Textiles","Music, Films & Books","Services","Sports Equipments","Total Sales"
2017-07-26,1301.96,917.25,202.38,1940.65,NA,2276.26,484.1,6579.63,1115.14,NA,842.81,15917.54
2017-07-27,2983.65,3171.83,998.1,2726.15,NA,2039.59,528.59,5720.42,568.64,21.75,1308.07,20477.14
2017-07-28,6093.25,2336.02,1396.21,957.2,NA,4942.6,667.76,5767.64,323.2,NA,2020.39,24624.34
2017-07-29,2118.69,2510.29,1167.6,2561.15,NA,2576.54,NA,6250.97,579.2,51.05,521,18645.1
2017-07-30,908.38,1561.11,1264.07,2020.9,NA,3587.2,1107.77,4989.27,34.53,NA,1626.47,17126.14
2017-07-31,1186.86,2275.16,891.4,3574.27,155.18,1824.11,609.84,6935.93,1679.51,125.15,2237.98,21563.49
2017-08-01,4764.18,2077.02,2708.83,2043.54,38.27,2051.66,779.69,9470.69,130.56,602.59,2462.32,27129.35
2017-08-02,3041.88,1298.44,1318.2,3600.21,24.35,1638.56,597.71,8870.71,760.06,NA,1092.91,23035.29
2017-08-03,2731.77,1648.41,1611.76,2936.31,NA,2433.65,2071.86,8319.68,44,NA,1333.42,23366.26
2017-08-04,1012.79,4305.62,857.63,3291.5,NA,2968.01,244.55,8073.83,213.65,225.17,1374.31,22649.98
2017-08-05,798.21,3169.03,869.8,1434.85,223.08,2232.45,388.78,3704.19,NA,76.99,1718.61,14980.51
2017-08-06,927.96,2813.47,1762.26,1158.11,171.79,3427.64,379.39,2978.4,1048.3,NA,2240.95,17203.43
2017-08-07,3694.02,2864.2,2389.85,2696.11,NA,3657.76,2947.04,5482.17,520.38,147.06,3731.32,28204.23
2017-08-08,1644.89,2759.6,1278.74,3062.6,51.27,2724.21,204.99,7203.12,258.62,334.63,2060.32,21702.45
2017-08-09,996.12,2287.46,2358.51,1925.01,60.19,2775.41,915.66,10357.91,227.93,NA,1799.8,23948.64
2017-08-10,3061.89,2569.46,1727.62,2623.49,NA,1074.41,1116.92,8403.2,213.17,NA,3205.37,24367.17
2017-08-11,1147.82,326.1,3367.76,3884.05,NA,2634.03,680.8,8760.55,444.77,314.48,1554.5,23777.38
2017-08-12,4652.77,1632.18,3178.24,1473.31,213.06,2003.9,484.23,4605.16,130.56,76.99,928.6,19406.01
2017-08-13,2276.3,1122.23,1516.9,3865.47,NA,606.3,293.98,4740.4,130.98,NA,313.28,16595.97
