"purchase_date","product_category","sales"
2017-01-30,"baby",626.88
2017-01-30,"bed_bath_table",923.79
2017-01-30,"computers",2217.99
2017-01-30,"computers_accessories",676.6
2017-01-30,"construction_tools_construction",335
2017-01-30,"cool_stuff",356.99
2017-01-30,"fashion_underwear_beach",69
2017-01-30,"furniture_decor",957.3
2017-01-30,"furniture_living_room",373.97
2017-01-30,"garden_tools",898.8
2017-01-30,"health_beauty",1414.48
2017-01-30,"home_appliances",577
2017-01-30,"housewares",432.8
2017-01-30,"market_place",43
2017-01-30,"perfumery",485.8
2017-01-30,"small_appliances",217
2017-01-30,"sports_leisure",386.98
2017-01-30,"telephony",372.2
2017-01-30,"toys",420.98
2017-01-31,"agro_industry_and_commerce",46.34
2017-01-31,"auto",130.06
2017-01-31,"baby",602.89
2017-01-31,"bed_bath_table",543.91
2017-01-31,"books_general_interest",127.41
2017-01-31,"computers_accessories",63.65
2017-01-31,"consoles_games",509.95
2017-01-31,"cool_stuff",426.67
2017-01-31,"dvds_blu_ray",95.6
2017-01-31,"fashion_bags_accessories",67.9
2017-01-31,"fixed_telephony",19.71
2017-01-31,"furniture_decor",1215.35
2017-01-31,"furniture_living_room",423.69
2017-01-31,"garden_tools",273.9
2017-01-31,"health_beauty",1427.78
2017-01-31,"home_appliances",277.88
2017-01-31,"housewares",55.46
2017-01-31,"luggage_accessories",277.8
2017-01-31,"market_place",45.4
2017-01-31,"office_furniture",1147.18
2017-01-31,"perfumery",273.29
2017-01-31,"small_appliances",124.84
2017-01-31,"sports_leisure",837.14
2017-01-31,"telephony",354.25
2017-01-31,"toys",84.99
2017-01-31,"watches_gifts",3476.23
2017-02-01,"auto",449.71
2017-02-01,"baby",113.07
2017-02-01,"bed_bath_table",270.07
2017-02-01,"books_general_interest",65.46
2017-02-01,"computers_accessories",935.58
2017-02-01,"cool_stuff",1489.06
2017-02-01,"fashion_bags_accessories",103.38
2017-02-01,"fixed_telephony",25.51
2017-02-01,"food_drink",167.1
2017-02-01,"furniture_decor",1030.44
2017-02-01,"garden_tools",207.07
2017-02-01,"health_beauty",1570.65
